from_certification_ref,to_certification_ref,replacement_type,priority,is_active,rationale,source
AWS|AWS Certified Machine Learning – Specialty|MLS-C01,AWS|AWS Certified Machine Learning Engineer – Associate|MLA-C01,REPLACEMENT,HIGH,true,Certificación se retira; alternativa asociada a ML Engineer Associate,certifications-retiring.csv
AWS|AWS Certified Machine Learning – Specialty|MLS-C01,AWS|AWS Certified Generative AI Developer – Professional|AIP-C01,ALTERNATIVE,MEDIUM,true,Si el foco es GenAI/LLMs sobre Bedrock,certifications-retiring.csv
Azure|Azure AI Fundamentals|AI-900,Azure|Azure AI Fundamentals (nueva versión)|AI-901,REPLACEMENT,HIGH,true,Nueva versión anunciada,certifications-retiring.csv
Azure|Azure AI Engineer Associate|AI-102,Azure|Azure AI Apps and Agents Developer Associate|AI-103,REPLACEMENT,HIGH,true,Reemplazo anunciado para junio 2026,certifications-retiring.csv
Azure|Azure Data Engineer Associate|DP-203,Azure|Fabric Data Engineer Associate|DP-700,REPLACEMENT,HIGH,true,Retirada marzo 2025; reemplazo recomendado por MS Fabric,certifications-retiring.csv
Azure|Azure Data Engineer Associate|DP-203,Azure|Fabric Analytics Engineer Associate|DP-600,ALTERNATIVE,MEDIUM,true,Complementa perfil DE con analytics en Fabric,certifications-retiring.csv
Azure|Azure Enterprise Data Analyst Associate|DP-500,Azure|Fabric Analytics Engineer Associate|DP-600,REPLACEMENT,HIGH,true,Retirada abril 2024; reemplazo DP-600,certifications-retiring.csv
